Mean of PCD bin 0,Sigma of PCD bin 0,Prob of PCD bin 0,Peak of PCD bin 0,Mean of PCD bin 1,Sigma of PCD bin 1,Prob of PCD bin 1,Peak of PCD bin 1,Mean of PCD bin 2,Sigma of PCD bin 2,Prob of PCD bin 2,Peak of PCD bin 2,Mean of PCD bin 3,Sigma of PCD bin 3,Prob of PCD bin 3,Peak of PCD bin 3,Mean of PCD bin 4,Sigma of PCD bin 4,Prob of PCD bin 4,Peak of PCD bin 4,Mean of PCD bin 5,Sigma of PCD bin 5,Prob of PCD bin 5,Peak of PCD bin 5,Mean of PCD bin 6,Sigma of PCD bin 6,Prob of PCD bin 6,Peak of PCD bin 6,Mean of PCD bin 7,Sigma of PCD bin 7,Prob of PCD bin 7,Peak of PCD bin 7,Mean of PCD bin 8,Sigma of PCD bin 8,Prob of PCD bin 8,Peak of PCD bin 8,Mean of PCD bin 9,Sigma of PCD bin 9,Prob of PCD bin 9,Peak of PCD bin 9,Mean of PCD bin 10,Sigma of PCD bin 10,Prob of PCD bin 10,Peak of PCD bin 10,Mean of PCD bin 10,Sigma of PCD bin 11,Prob of PCD bin 11,Peak of PCD bin 11,Raga Class
85,30,0.0675869487,295.018872,164,56,0.0910720688,278.682798,212,72,0.0089637863,295.018872,166,50,0.0577267838,311.665296,167,59,0.1183219792,330.827837,158,88,0.0448189315,350.610249,142,90,0.0233058444,371.926561,163,90,0.0387235568,393.782861,150,90,0.1710290427,416.089608,118,44,0.2954463966,436.769204,126,40,0.0781642166,442.68148,137,42,0.0225887415,248.229824,0
71,17,0.0792549306,295.179509,138,25,0.1227173119,278.395853,201,71,0.0084002922,295.179509,155,57,0.096055515,312.517666,178,109,0.0361577794,330.85328,130,91,0.0482103725,350.454136,93,36,0.1617969321,371.964262,170,122,0.0186267348,393.766404,146,91,0.1745799854,416.117282,119,50,0.1913805698,436.824452,132,45,0.0799853908,442.565827,133,38,0.0226442659,248.071689,0
89,31.5,0.1080312722,293.668571,176,61,0.1751954513,278.217934,188,66,0.0046197584,293.668571,138,56,0.0565031983,312.49564,96,31,0.0092395167,164.397794,95,27,0.0120824449,173.729346,89,4,0.1570717839,183.405055,151,48,0.0113717129,197.031749,164,49,0.105899076,208.831729,127,42,0.3368869936,221.155969,177,55,0.0586353945,233.61484,197,58,0.0216773276,248.021822,0
110,32,0.0686173854,295.14888,215,65,0.0989048597,278.224016,256,58,0.0130047912,295.14888,241,91,0.0742642026,312.743759,142,80,0.0917180014,321.623408,116,41,0.0195071869,173.822976,89,8,0.0455167693,183.534402,169,43,0.007871321,197.088043,173,45,0.0790554415,208.806585,121,37,0.4496919918,221.192261,173,56,0.059890486,233.693167,215,49,0.0208761123,247.792382,0
100,35,0.0598615917,295.091036,189,67,0.06816609,278.676548,264,52,0.0224913495,295.091036,266,73,0.1280276817,312.885543,165,93,0.1577854671,330.923519,214,112,0.044982699,350.409145,123,87,0.0387543253,369.929394,239,142,0.0128027682,393.74361,172,110,0.1290657439,416.891568,118,49,0.255017301,441.283994,142,71,0.0868512111,457.758125,194,58,0.0117647059,248.078028,0
107,35.5,0.0530604853,295.145708,199,68,0.0586743933,278.74099,277,37,0.0253531329,295.145708,276,60,0.0890981528,312.609241,158,95,0.1557406737,330.96213,285,94,0.0398406375,350.469271,187,124,0.0141253169,369.946222,239,142,0.0134009417,393.723979,169,110,0.1369069178,416.893209,112,38,0.3582035494,441.239896,147,80,0.0651937704,457.90896,186,60,0.0119521912,248.058182,0
113,32.5,0.0970891673,295.283288,213,66,0.1120117907,278.368914,247,64,0.0490051584,295.283288,203,80,0.2372881356,312.504025,128,76,0.1116433309,331.064998,247,98,0.0151068534,340.446713,89,1,0.0066322771,92.619674,153,48,0.0095799558,196.928378,129,45,0.0895357406,208.100424,112,25,0.2756079587,220.805445,185,55,0.0350036846,233.944308,220,44,0.0154753132,247.843257,0
125,24.5,0.1552454963,295.340084,242,52,0.2190038856,278.671376,285,22,0.0565171318,295.340084,298,26,0.1525962557,312.877972,270,73,0.1215118333,331.436062,279,102,0.02896503,338.390044,97,26,0.05793006,183.584343,191,2,0.0031790887,195.909616,199,20,0.0180148357,208.60677,128,43,0.2529141646,220.84988,222,17,0.0413281526,234.340727,218,47,0.009537266,247.604904,0
110,33,0.1157009346,295.303019,212,66,0.1401869159,278.739575,243,66,0.0478504673,295.303019,213,83,0.2930841121,312.842975,244,92,0.1880373832,331.157312,212,95,0.021682243,345.957496,90,0,0.003364486,91.012105,171,42,0.0074766355,196.918195,140,49,0.0624299065,208.051245,121,37,0.1229906542,221.129523,157,56,0.0396261682,234.055613,209,53,0.0171962617,248.094358,0
108,34.5,0.0817216534,295.321686,218,65,0.0811528252,278.592566,257,60,0.039817975,295.321686,252,78,0.1657186196,312.828363,248,93,0.2229806598,331.454188,219,104,0.0519529769,349.294671,163,120,0.0166856276,368.205397,191,135,0.0056882821,390.343599,122,67,0.0750853242,415.032223,115,33,0.2161547213,431.074792,122,31,0.0568828214,234.093042,151,53,0.0163064088,247.992165,0
